ID,RNA_CoExp_w_GenAge
1433B_HUMAN,38
1433E_HUMAN,51
1433F_HUMAN,26
1433G_HUMAN,31
1433S_HUMAN,22
1433T_HUMAN,57
1433Z_HUMAN,44
1A01_HUMAN,49
1A02_HUMAN,49
1A03_HUMAN,49
1A11_HUMAN,49
1A1L1_HUMAN,27
1A1L2_HUMAN,21
1A23_HUMAN,49
1A24_HUMAN,49
1A25_HUMAN,49
1A26_HUMAN,49
1A29_HUMAN,49
1A30_HUMAN,49
1A31_HUMAN,49
1A32_HUMAN,49
1A33_HUMAN,49
1A34_HUMAN,49
1A36_HUMAN,49
1A43_HUMAN,49
1A66_HUMAN,49
1A68_HUMAN,49
1A69_HUMAN,49
1A74_HUMAN,49
1A80_HUMAN,49
1B07_HUMAN,47
1B08_HUMAN,47
1B13_HUMAN,47
1B14_HUMAN,47
1B15_HUMAN,47
1B18_HUMAN,47
1B27_HUMAN,47
1B35_HUMAN,47
1B37_HUMAN,47
1B38_HUMAN,47
1B39_HUMAN,47
1B40_HUMAN,47
1B41_HUMAN,47
1B42_HUMAN,47
1B44_HUMAN,47
1B45_HUMAN,47
1B46_HUMAN,47
1B47_HUMAN,47
1B48_HUMAN,47
1B49_HUMAN,47
1B50_HUMAN,47
1B51_HUMAN,47
1B52_HUMAN,47
1B53_HUMAN,47
1B54_HUMAN,47
1B55_HUMAN,47
1B56_HUMAN,47
1B57_HUMAN,47
1B58_HUMAN,47
1B59_HUMAN,47
1B67_HUMAN,47
1B73_HUMAN,47
1B78_HUMAN,47
1B81_HUMAN,47
1B82_HUMAN,47
1C01_HUMAN,43
1C02_HUMAN,43
1C03_HUMAN,43
1C04_HUMAN,43
1C05_HUMAN,43
1C06_HUMAN,43
1C07_HUMAN,43
1C08_HUMAN,43
1C12_HUMAN,43
1C14_HUMAN,43
1C15_HUMAN,43
1C16_HUMAN,43
1C17_HUMAN,43
1C18_HUMAN,43
2A5A_HUMAN,52
2A5B_HUMAN,31
2A5D_HUMAN,66
2A5E_HUMAN,42
2A5G_HUMAN,40
2AAA_HUMAN,68
2AAB_HUMAN,40
2ABA_HUMAN,30
2ABB_HUMAN,14
2ABD_HUMAN,26
2ABG_HUMAN,19
2B11_HUMAN,41
2B13_HUMAN,41
2B14_HUMAN,41
2B17_HUMAN,41
2B18_HUMAN,41
2B19_HUMAN,41
2B1A_HUMAN,41
2B1B_HUMAN,41
2B1C_HUMAN,41
2B1D_HUMAN,41
2B1E_HUMAN,41
2B1F_HUMAN,41
2B1G_HUMAN,41
3BHS1_HUMAN,17
3BHS2_HUMAN,18
3BHS7_HUMAN,39
3BP1_HUMAN,49
3BP2_HUMAN,27
3BP5L_HUMAN,43
3BP5_HUMAN,31
3HAO_HUMAN,32
3HIDH_HUMAN,53
3MG_HUMAN,65
41_HUMAN,33
4EBP1_HUMAN,59
4EBP2_HUMAN,62
4EBP3_HUMAN,39
4ET_HUMAN,21
4F2_HUMAN,50
5HT1A_HUMAN,2
5HT1B_HUMAN,6
5HT1D_HUMAN,7
5HT1E_HUMAN,2
5HT1F_HUMAN,15
5HT2A_HUMAN,13
5HT2B_HUMAN,6
5HT2C_HUMAN,2
5HT3A_HUMAN,0
5HT3B_HUMAN,2
5HT3C_HUMAN,1
5HT3D_HUMAN,11
5HT3E_HUMAN,11
5HT4R_HUMAN,6
5HT5A_HUMAN,7
5HT6R_HUMAN,5
5HT7R_HUMAN,17
5NT1A_HUMAN,2
5NT1B_HUMAN,2
5NT3A_HUMAN,47
5NT3B_HUMAN,45
5NTC_HUMAN,51
5NTD_HUMAN,39
68MP_HUMAN,
6PGD_HUMAN,64
6PGL_HUMAN,57
7B2_HUMAN,20
8ODP_HUMAN,62
A14EL_HUMAN,0
A16A1_HUMAN,62
A16L1_HUMAN,20
A16L2_HUMAN,34
A1AG1_HUMAN,25
A1AG2_HUMAN,25
A1ATR_HUMAN,
A1AT_HUMAN,29
A1BG_HUMAN,15
A1CF_HUMAN,28
A2012_HUMAN,
A20A1_HUMAN,0
A20A2_HUMAN,
A20A3_HUMAN,1
A20A4_HUMAN,
A20A5_HUMAN,3
A26L1_HUMAN,
A2AP_HUMAN,30
A2GL_HUMAN,27
A2MG_HUMAN,42
A2ML1_HUMAN,13
A30BL_HUMAN,1
A3LT2_HUMAN,4
A4AS1_HUMAN,
A4GAT_HUMAN,35
A4GCT_HUMAN,2
A4_HUMAN,54
A7L3B_HUMAN,42
AA1R_HUMAN,18
AA2AR_HUMAN,3
AA2BR_HUMAN,29
AA3R_HUMAN,7
AAA1_HUMAN,35
AAAD_HUMAN,28
AAAS_HUMAN,51
AAAT_HUMAN,53
AACS_HUMAN,31
AACT_HUMAN,18
AADAT_HUMAN,25
AAED1_HUMAN,34
AAGAB_HUMAN,65
AAK1_HUMAN,19
AAKB1_HUMAN,48
AAKB2_HUMAN,39
AAKG1_HUMAN,33
AAKG2_HUMAN,25
AAKG3_HUMAN,7
AAMDC_HUMAN,35
AAMP_HUMAN,77
AAPK1_HUMAN,38
AAPK2_HUMAN,27
AAR2_HUMAN,45
AARD_HUMAN,2
AAS1_HUMAN,7
AASD1_HUMAN,10
AASS_HUMAN,21
AATC2_HUMAN,1
AATC_HUMAN,28
AATF_HUMAN,55
AATM_HUMAN,43
AB12B_HUMAN,4
AB17A_HUMAN,45
AB17B_HUMAN,25
AB17C_HUMAN,16
AB1IP_HUMAN,42
ABC3A_HUMAN,32
ABC3B_HUMAN,59
ABC3C_HUMAN,51
ABC3D_HUMAN,41
ABC3F_HUMAN,32
ABC3G_HUMAN,46
ABC3H_HUMAN,26
ABCA1_HUMAN,36
ABCA2_HUMAN,14
ABCA3_HUMAN,14
ABCA4_HUMAN,2
ABCA5_HUMAN,23
ABCA6_HUMAN,22
ABCA7_HUMAN,35
ABCA8_HUMAN,4
ABCA9_HUMAN,35
ABCAA_HUMAN,14
ABCAB_HUMAN,13
ABCAC_HUMAN,9
ABCAD_HUMAN,2
ABCB5_HUMAN,1
ABCB6_HUMAN,25
ABCB7_HUMAN,49
ABCB8_HUMAN,28
ABCB9_HUMAN,2
ABCBA_HUMAN,40
ABCBB_HUMAN,11
ABCC8_HUMAN,12
ABCC9_HUMAN,36
ABCCB_HUMAN,4
ABCCD_HUMAN,8
ABCD1_HUMAN,54
ABCD2_HUMAN,28
ABCD3_HUMAN,48
ABCD4_HUMAN,20
ABCE1_HUMAN,58
ABCF1_HUMAN,36
ABCF2_HUMAN,32
ABCF3_HUMAN,43
ABCG1_HUMAN,24
ABCG2_HUMAN,24
ABCG4_HUMAN,2
ABCG5_HUMAN,10
ABCG8_HUMAN,13
ABD12_HUMAN,53
ABD18_HUMAN,
ABEC1_HUMAN,4
ABEC2_HUMAN,23
ABEC4_HUMAN,8
ABH15_HUMAN,49
ABHD1_HUMAN,7
ABHD2_HUMAN,42
ABHD3_HUMAN,19
ABHD4_HUMAN,56
ABHD5_HUMAN,46
ABHD6_HUMAN,21
ABHD8_HUMAN,31
ABHDA_HUMAN,35
ABHDB_HUMAN,22
ABHDD_HUMAN,49
ABHEA_HUMAN,39
ABHEB_HUMAN,56
ABHGA_HUMAN,11
ABHGB_HUMAN,23
ABI1_HUMAN,50
ABI2_HUMAN,30
ABI3_HUMAN,42
ABL1_HUMAN,67
ABL2_HUMAN,32
ABLM1_HUMAN,26
ABLM2_HUMAN,15
ABLM3_HUMAN,54
ABRAL_HUMAN,47
ABRA_HUMAN,18
ABR_HUMAN,28
ABT1_HUMAN,43
ABTB1_HUMAN,28
ABTB2_HUMAN,20
ACACA_HUMAN,48
ACACB_HUMAN,54
ACAD8_HUMAN,22
ACAD9_HUMAN,26
ACADL_HUMAN,39
ACADM_HUMAN,62
ACADS_HUMAN,34
ACADV_HUMAN,50
ACAP1_HUMAN,43
ACAP2_HUMAN,52
ACAP3_HUMAN,32
ACATN_HUMAN,15
ACBD4_HUMAN,24
ACBD5_HUMAN,40
ACBD6_HUMAN,62
ACBD7_HUMAN,9
ACBG1_HUMAN,4
ACBG2_HUMAN,7
ACBP_HUMAN,45
ACD10_HUMAN,27
ACD11_HUMAN,29
ACDSB_HUMAN,31
ACD_HUMAN,54
ACE2_HUMAN,18
ACER1_HUMAN,3
ACER2_HUMAN,5
ACER3_HUMAN,27
ACES_HUMAN,24
ACE_HUMAN,9
ACH10_HUMAN,0
ACHA2_HUMAN,0
ACHA3_HUMAN,15
ACHA4_HUMAN,10
ACHA5_HUMAN,38
ACHA6_HUMAN,3
ACHA7_HUMAN,13
ACHA9_HUMAN,4
ACHA_HUMAN,18
ACHB2_HUMAN,10
ACHB3_HUMAN,1
ACHB4_HUMAN,5
ACHB_HUMAN,18
ACHD_HUMAN,11
ACHE_HUMAN,7
