name,degree,aging_neighbors,aging_n/degree,K-core,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient
1433B_HUMAN,23,1,0.04348,6,3.86396463,0.00210895,0.25880154,0.02766798,8,13.95652174,0.76133628,933608,0.05452602
1433E_HUMAN,17,1,0.05882,6,3.95622697,0.00246475,0.25276608,0.08823529,8,18.52941176,0.75364775,797156,0.07425265
1433F_HUMAN,16,0,0,6,4.12925571,0.00097338,0.24217439,0.08333333,8,13.1875,0.73922869,553314,0.09148551
1433G_HUMAN,11,1,0.09091,6,3.87619749,0.00232517,0.25798479,0.07272727,8,29.45454545,0.76031688,806872,0.10251451
1433S_HUMAN,29,5,0.17241,8,3.50169492,0.00547746,0.28557599,0.03940887,8,25.48275862,0.79152542,2140752,0.04151656
1433T_HUMAN,10,1,0.1,6,4.07118644,0.00111751,0.24562864,0.02222222,8,30.5,0.7440678,440970,0.12024291
1433Z_HUMAN,65,11,0.16923,7,3.47693441,0.0193116,0.28760968,0.01826923,8,14.26153846,0.7935888,6268622,0.02047461
1A01_HUMAN,0,0,0,0,,,,,,,,,
1A02_HUMAN,0,0,0,0,,,,,,,,,
1A03_HUMAN,0,0,0,0,,,,,,,,,
1A11_HUMAN,0,0,0,0,,,,,,,,,
1A1L1_HUMAN,1,0,0,1,6.72910833,0,0.1486081,0,11,2,0.52257431,0,0
1A1L2_HUMAN,0,0,0,0,,,,,,,,,
1A23_HUMAN,0,0,0,0,,,,,,,,,
1A24_HUMAN,0,0,0,0,,,,,,,,,
1A25_HUMAN,0,0,0,0,,,,,,,,,
1A26_HUMAN,0,0,0,0,,,,,,,,,
1A29_HUMAN,0,0,0,0,,,,,,,,,
1A30_HUMAN,0,0,0,0,,,,,,,,,
1A31_HUMAN,0,0,0,0,,,,,,,,,
1A32_HUMAN,0,0,0,0,,,,,,,,,
1A33_HUMAN,0,0,0,0,,,,,,,,,
1A34_HUMAN,0,0,0,0,,,,,,,,,
1A36_HUMAN,0,0,0,0,,,,,,,,,
1A43_HUMAN,0,0,0,0,,,,,,,,,
1A66_HUMAN,0,0,0,0,,,,,,,,,
1A68_HUMAN,0,0,0,0,,,,,,,,,
1A69_HUMAN,0,0,0,0,,,,,,,,,
1A74_HUMAN,0,0,0,0,,,,,,,,,
1A80_HUMAN,0,0,0,0,,,,,,,,,
1B07_HUMAN,0,0,0,0,,,,,,,,,
1B08_HUMAN,0,0,0,0,,,,,,,,,
1B13_HUMAN,0,0,0,0,,,,,,,,,
1B14_HUMAN,0,0,0,0,,,,,,,,,
1B15_HUMAN,0,0,0,0,,,,,,,,,
1B18_HUMAN,0,0,0,0,,,,,,,,,
1B27_HUMAN,0,0,0,0,,,,,,,,,
1B35_HUMAN,0,0,0,0,,,,,,,,,
1B37_HUMAN,0,0,0,0,,,,,,,,,
1B38_HUMAN,0,0,0,0,,,,,,,,,
1B39_HUMAN,0,0,0,0,,,,,,,,,
1B40_HUMAN,0,0,0,0,,,,,,,,,
1B41_HUMAN,0,0,0,0,,,,,,,,,
1B42_HUMAN,0,0,0,0,,,,,,,,,
1B44_HUMAN,0,0,0,0,,,,,,,,,
1B45_HUMAN,0,0,0,0,,,,,,,,,
1B46_HUMAN,0,0,0,0,,,,,,,,,
1B47_HUMAN,0,0,0,0,,,,,,,,,
1B48_HUMAN,0,0,0,0,,,,,,,,,
1B49_HUMAN,0,0,0,0,,,,,,,,,
1B50_HUMAN,0,0,0,0,,,,,,,,,
1B51_HUMAN,0,0,0,0,,,,,,,,,
1B52_HUMAN,0,0,0,0,,,,,,,,,
1B53_HUMAN,0,0,0,0,,,,,,,,,
1B54_HUMAN,0,0,0,0,,,,,,,,,
1B55_HUMAN,0,0,0,0,,,,,,,,,
1B56_HUMAN,0,0,0,0,,,,,,,,,
1B57_HUMAN,0,0,0,0,,,,,,,,,
1B58_HUMAN,0,0,0,0,,,,,,,,,
1B59_HUMAN,0,0,0,0,,,,,,,,,
